Instance,Runways,Problem,Objective,Time(s)
airland1,1,Problem 1: Minimizing Weighted Delay,818.0,0.001
airland1,1,Problem 2: Minimizing Makespan,100095.0,0.001
airland1,2,Problem 1: Minimizing Weighted Delay,0.0,0.01
airland1,2,Problem 2: Minimizing Makespan,99999.0,0.008
airland1,2,Problem 3: Minimizing Total Lateness,3.9999961853027344,0.007
airland1,3,Problem 1: Minimizing Weighted Delay,54.0,0.0
airland1,3,Problem 2: Minimizing Makespan,99999.0,0.0
airland2,1,Problem 1: Minimizing Weighted Delay,292.0,0.0
airland2,1,Problem 2: Minimizing Makespan,100014.0,0.0
airland2,2,Problem 1: Minimizing Weighted Delay,0.0,0.021
airland2,2,Problem 2: Minimizing Makespan,99999.0,0.006
airland2,2,Problem 3: Minimizing Total Lateness,6.99999618530272,0.033
airland2,3,Problem 1: Minimizing Weighted Delay,165.0,0.0
airland2,3,Problem 2: Minimizing Makespan,100014.0,0.0
airland3,1,Problem 1: Minimizing Weighted Delay,640.0,0.0
airland3,1,Problem 2: Minimizing Makespan,99999.0,0.0
airland3,2,Problem 1: Minimizing Weighted Delay,0.0,0.016
airland3,2,Problem 2: Minimizing Makespan,99999.0,0.006
airland3,2,Problem 3: Minimizing Total Lateness,5.999996185302734,0.088
airland3,3,Problem 1: Minimizing Weighted Delay,35.0,0.0
airland3,3,Problem 2: Minimizing Makespan,99999.0,0.002
airland4,1,Problem 1: Minimizing Weighted Delay,1032.0,0.0
airland4,1,Problem 2: Minimizing Makespan,99999.0,0.0
airland4,2,Problem 1: Minimizing Weighted Delay,0.0,0.007
airland4,2,Problem 2: Minimizing Makespan,99999.0,0.006
airland4,2,Problem 3: Minimizing Total Lateness,5.0,0.009
airland4,3,Problem 1: Minimizing Weighted Delay,840.0,0.0
airland4,3,Problem 2: Minimizing Makespan,99999.0,0.0
airland5,1,Problem 1: Minimizing Weighted Delay,107.0,0.0
airland5,1,Problem 2: Minimizing Makespan,99999.0,0.0
airland5,2,Problem 1: Minimizing Weighted Delay,0.0,0.015
airland5,2,Problem 2: Minimizing Makespan,99999.0,0.015
airland5,2,Problem 3: Minimizing Total Lateness,5.999997138977037,0.049
airland5,3,Problem 1: Minimizing Weighted Delay,27.0,0.0
airland5,3,Problem 2: Minimizing Makespan,99999.0,0.001
airland6,1,Problem 1: Minimizing Weighted Delay,0.0,0.005
airland6,1,Problem 2: Minimizing Makespan,200.0,0.004
airland6,1,Problem 3: Minimizing Total Lateness,6.0,0.003
airland6,2,Problem 1: Minimizing Weighted Delay,0.0,0.005
airland6,2,Problem 2: Minimizing Makespan,200.0,0.004
airland6,2,Problem 3: Minimizing Total Lateness,5.999994277954102,0.007
airland6,3,Problem 1: Minimizing Weighted Delay,17040.0,0.0
airland6,3,Problem 2: Minimizing Makespan,200.0,0.0
airland7,1,Problem 1: Minimizing Weighted Delay,0.0,0.003
airland7,1,Problem 2: Minimizing Makespan,200.0,0.004
airland7,1,Problem 3: Minimizing Total Lateness,7.0,0.004
airland7,2,Problem 1: Minimizing Weighted Delay,0.0,0.004
airland7,2,Problem 2: Minimizing Makespan,200.0,0.004
airland7,2,Problem 3: Minimizing Total Lateness,6.999993324279785,0.007
airland7,3,Problem 1: Minimizing Weighted Delay,39820.0,0.0
airland7,3,Problem 2: Minimizing Makespan,300.0,0.001
airland8,1,Problem 1: Minimizing Weighted Delay,0.0,0.004
airland8,1,Problem 2: Minimizing Makespan,157.0,0.003
airland8,1,Problem 3: Minimizing Total Lateness,5.0,0.003
airland8,2,Problem 1: Minimizing Weighted Delay,0.0,0.004
airland8,2,Problem 2: Minimizing Makespan,157.0,0.004
airland8,2,Problem 3: Minimizing Total Lateness,4.999995231628418,0.004
airland8,3,Problem 1: Minimizing Weighted Delay,140.0,0.0
airland8,3,Problem 2: Minimizing Makespan,157.0,0.0
